Lon Lat sand clay silt orgc ph bulkdensity cn soilc depth awc bedrockfrac andic pfixation
0.0000 87.8638 0.5188 0.1912 0.2900 0.00000 6.760 1500.0 12.0 0.0000 0.2902 34.59 0.0628 0.0000 0.0000
2.8125 87.8638 0.5092 0.1964 0.2944 0.00000 6.776 1500.0 12.0 0.0000 0.2890 34.70 0.0628 0.0000 0.0000
5.6250 87.8638 0.4982 0.2024 0.2994 0.00000 6.794 1500.0 12.0 0.0000 0.2870 34.75 0.0628 0.0000 0.0000
8.4375 87.8638 0.5175 0.1919 0.2906 0.00000 6.758 1500.0 12.0 0.0000 0.3201 38.18 0.0628 0.0000 0.0000
11.2500 87.8638 0.5079 0.1971 0.2950 0.00000 6.774 1500.0 12.0 0.0000 0.3213 38.61 0.0628 0.0000 0.0000
14.0625 87.8638 0.5152 0.1931 0.2917 0.00000 6.760 1500.0 12.0 0.0000 0.3437 41.07 0.0628 0.0000 0.0000
16.8750 87.8638 0.4808 0.2128 0.3064 0.00000 6.985 1500.0 12.0 0.0000 0.3352 41.09 0.0628 0.0000 0.0000
19.6875 87.8638 0.4709 0.2188 0.3103 0.00000 7.095 1500.0 12.0 0.0000 0.3507 43.30 0.0628 0.0000 0.0000
22.5000 87.8638 0.5346 0.1826 0.2828 0.00000 6.721 1500.0 12.0 0.0000 0.4307 50.70 0.0628 0.0000 0.0000
25.3125 87.8638 0.4545 0.2286 0.3168 0.00000 7.277 1500.0 12.0 0.0000 0.3913 48.88 0.0628 0.0000 0.0000
28.1250 87.8638 0.4203 0.2493 0.3304 0.00000 7.661 1500.0 12.0 0.0000 0.4131 52.84 0.0628 0.0000 0.0000
36.5625 87.8638 0.4503 0.2312 0.3185 0.00000 7.328 1500.0 12.0 0.0000 0.5448 68.25 0.0628 0.0000 0.0000
39.3750 87.8638 0.4044 0.2589 0.3368 0.00000 7.843 1500.0 12.0 0.0000 0.5888 76.14 0.0628 0.0000 0.0000
42.1875 87.8638 0.3501 0.3016 0.3483 0.00000 8.372 1500.0 12.0 0.0000 0.6226 83.04 0.0628 0.0000 0.0000
47.8125 87.8638 0.4539 0.2291 0.3171 0.00000 7.291 1500.0 12.0 0.0000 0.7399 92.46 0.0628 0.0000 0.0000
50.6250 87.8638 0.4104 0.2647 0.3249 0.00000 7.703 1500.0 12.0 0.0000 0.7115 91.16 0.0628 0.0000 0.0000
53.4375 87.8638 0.4407 0.2370 0.3223 0.00000 7.439 1500.0 12.0 0.0000 0.7500 94.58 0.0628 0.0000 0.0000
56.2500 87.8638 0.4381 0.2427 0.3191 0.00000 7.437 1500.0 12.0 0.0000 0.7439 93.77 0.0628 0.0000 0.0000
59.0625 87.8638 0.3845 0.2708 0.3446 0.00000 8.072 1500.0 12.0 0.0000 0.7273 95.32 0.0628 0.0000 0.0000
61.8750 87.8638 0.4303 0.2448 0.3249 0.00000 7.801 1500.0 12.0 0.0000 0.7870 99.89 0.0628 0.0000 0.0000
64.6875 87.8638 0.3560 0.2893 0.3548 0.00000 8.580 1500.0 12.0 0.0000 0.7207 96.20 0.0628 0.0000 0.0000
67.5000 87.8638 0.3492 0.2942 0.3567 0.00000 8.782 1500.0 12.0 0.0000 0.7155 95.89 0.0628 0.0000 0.0000
70.3125 87.8638 0.3893 0.2691 0.3416 0.00000 8.200 1500.0 12.0 0.0000 0.6730 87.86 0.0628 0.0000 0.0000
73.1250 87.8638 0.3916 0.2677 0.3407 0.00000 8.166 1500.0 12.0 0.0000 0.6382 83.19 0.0628 0.0000 0.0000
75.9375 87.8638 0.3404 0.2974 0.3621 0.00000 8.567 1500.0 12.0 0.0000 0.5583 75.33 0.0628 0.0000 0.0000
78.7500 87.8638 0.3302 0.3094 0.3604 0.00000 8.635 1500.0 12.0 0.0000 0.5135 69.54 0.0628 0.0000 0.0000
81.5625 87.8638 0.3635 0.2925 0.3440 0.00000 8.237 1500.0 12.0 0.0000 0.4867 64.38 0.0628 0.0000 0.0000
84.3750 87.8638 0.3616 0.2997 0.3387 0.00000 8.333 1500.0 12.0 0.0000 0.4636 61.21 0.0628 0.0000 0.0000
87.1875 87.8638 0.3744 0.2835 0.3421 0.00000 8.231 1500.0 12.0 0.0000 0.4483 58.94 0.0628 0.0000 0.0000
90.0000 87.8638 0.3833 0.2716 0.3451 0.00000 8.087 1500.0 12.0 0.0000 0.4221 55.37 0.0628 0.0000 0.0000
92.8125 87.8638 0.3169 0.3202 0.3629 0.00000 8.446 1500.0 12.0 0.0000 0.4045 55.17 0.0628 0.0000 0.0000
95.6250 87.8638 0.2965 0.3373 0.3662 0.00000 8.684 1500.0 12.0 0.0000 0.3702 51.03 0.0628 0.0000 0.0000
98.4375 87.8638 0.2786 0.3463 0.3751 0.00000 9.169 1500.0 12.0 0.0000 0.3308 46.17 0.0628 0.0000 0.0000
101.2500 87.8638 0.2403 0.3694 0.3904 0.00000 9.500 1500.0 12.0 0.0000 0.3122 44.62 0.0628 0.0000 0.0000
104.0625 87.8638 0.2619 0.3526 0.3856 0.00000 9.387 1500.0 12.0 0.0000 0.3105 43.87 0.0628 0.0000 0.0000
106.8750 87.8638 0.2803 0.3379 0.3818 0.00000 9.208 1500.0 12.0 0.0000 0.3119 43.63 0.0628 0.0000 0.0000
109.6875 87.8638 0.2871 0.3392 0.3737 0.00000 9.088 1500.0 12.0 0.0000 0.3047 42.33 0.0628 0.0000 0.0000
112.5000 87.8638 0.3224 0.3170 0.3606 0.00000 8.700 1500.0 12.0 0.0000 0.3110 42.27 0.0628 0.0000 0.0000
115.3125 87.8638 0.3097 0.3160 0.3743 0.00000 8.912 1500.0 12.0 0.0000 0.3215 44.24 0.0628 0.0000 0.0000
118.1250 87.8638 0.3138 0.3134 0.3727 0.00000 8.866 1500.0 12.0 0.0000 0.3293 45.20 0.0628 0.0000 0.0000
120.9375 87.8638 0.3096 0.3254 0.3650 0.00000 8.839 1500.0 12.0 0.0000 0.3317 45.43 0.0628 0.0000 0.0000
123.7500 87.8638 0.4474 0.2313 0.3213 0.00000 7.278 1500.0 12.0 0.0000 0.3914 49.17 0.0628 0.0000 0.0000
126.5625 87.8638 0.4490 0.2277 0.3233 0.00000 7.091 1500.0 12.0 0.0000 0.4625 58.13 0.0628 0.0000 0.0000
129.3750 87.8638 0.4243 0.2469 0.3288 0.00000 7.627 1500.0 12.0 0.0000 0.4623 58.97 0.0628 0.0000 0.0000
132.1875 87.8638 0.4724 0.2178 0.3097 0.00000 7.090 1500.0 12.0 0.0000 0.5388 66.46 0.0628 0.0000 0.0000
135.0000 87.8638 0.4493 0.2318 0.3189 0.00000 7.348 1500.0 12.0 0.0000 0.6331 79.37 0.0628 0.0000 0.0000
137.8125 87.8638 0.4546 0.2286 0.3168 0.00000 7.290 1500.0 12.0 0.0000 0.6469 80.80 0.0628 0.0000 0.0000
140.6250 87.8638 0.4550 0.2284 0.3167 0.00000 7.284 1500.0 12.0 0.0000 0.5497 68.64 0.0628 0.0000 0.0000
143.4375 87.8638 0.4781 0.2144 0.3075 0.00000 7.026 1500.0 12.0 0.0000 0.4789 58.83 0.0628 0.0000 0.0000
146.2500 87.8638 0.4751 0.2163 0.3087 0.00000 7.060 1500.0 12.0 0.0000 0.4182 51.48 0.0628 0.0000 0.0000
149.0625 87.8638 0.4790 0.2139 0.3071 0.00000 7.016 1500.0 12.0 0.0000 0.3719 45.65 0.0628 0.0000 0.0000
151.8750 87.8638 0.4982 0.2023 0.2994 0.00000 6.800 1500.0 12.0 0.0000 0.3375 40.86 0.0628 0.0000 0.0000
154.6875 87.8638 0.4504 0.2312 0.3185 0.00000 7.335 1500.0 12.0 0.0000 0.2951 36.96 0.0628 0.0000 0.0000
157.5000 87.8638 0.4574 0.2269 0.3157 0.00000 7.256 1500.0 12.0 0.0000 0.2693 33.57 0.0628 0.0000 0.0000
160.3125 87.8638 0.4055 0.2582 0.3363 0.00000 7.836 1500.0 12.0 0.0000 0.2364 30.54 0.0628 0.0000 0.0000
163.1250 87.8638 0.3853 0.2703 0.3444 0.00000 8.062 1500.0 12.0 0.0000 0.2141 28.04 0.0628 0.0000 0.0000
165.9375 87.8638 0.4176 0.2509 0.3315 0.00000 7.697 1500.0 12.0 0.0000 0.2025 25.95 0.0628 0.0000 0.0000
168.7500 87.8638 0.4468 0.2332 0.3200 0.00000 7.374 1500.0 12.0 0.0000 0.1921 24.12 0.0628 0.0000 0.0000
